Day,FNC,TFRatio,WVC_FNC,N0,Rainfall,AbsHum,Soil,AirT,AirP,RelHum
734883.5,2464.4167,0.4866,2533.3672,3642.268008,0.05,0.0052,0.0789,12.8718,906.2954,46.3903
734884.5,2357.375,0.5083,2446.4698,3566.483814,2.42,0.007,0.0866,10.849,906.9926,68.5297
734885.5,2418.1667,0.5006,2501.7428,3633.876347,0,0.0064,0.0845,9.6609,910.3815,67.6299
734886.5,2499,0.4892,2577.6721,3731.573871,0,0.0059,0.0827,10.6313,909.0304,57.8749
734887.5,2548.25,0.4898,2604.9977,3759.956801,0,0.0041,0.0811,11.788,904.7904,37.6152
734888.5,2558.375,0.4878,2605.4443,3746.479731,0,0.0034,0.079,12.3934,904.3992,30.3712
734889.5,2575.3333,0.4833,2622.5852,3759.53071,0,0.0034,0.0774,13.6026,901.636,29.4248
734890.5,2557.8333,0.4851,2607.548,3727.831119,0,0.0036,0.0759,9.4115,906.2897,38.8191
734891.5,2568.5417,0.476,2611.4721,3725.893262,0,0.0031,0.0749,11.854,901.9273,29.9079
734892.5,2581.4167,0.4722,2637.6919,3752.121158,0,0.004,0.0733,8.5149,904.4811,46.9933
734893.5,2566.1667,0.4812,2628.817,3738.46944,0,0.0045,0.0732,8.762,908.0427,51.7606
734894.5,2582.6667,0.4774,2643.488,3752.669469,0,0.0044,0.0723,12.0133,905.843,41.3071
734895.5,2580.7083,0.4752,2635.8648,3732.054451,0,0.004,0.0709,13.8289,904.3248,33.7197
734896.5,2604.5,0.4729,2669.9085,3771.575742,0,0.0047,0.0697,14.8102,908.2308,37.3015
734897.5,2608.125,0.4689,2664.0876,3755.027044,0,0.004,0.0686,15.3675,907.6043,29.7698
734898.5,2625.0833,0.464,2671.4926,3757.542327,0,0.0033,0.0676,13.7427,904.4367,27.82
734899.5,2632.7083,0.4658,2675.6811,3753.98163,0,0.003,0.0663,12.6814,905.826,26.8279
734900.5,2657.6667,0.4557,2700.4226,3780.251932,0,0.003,0.0652,13.0171,905.3376,26.2906
734901.5,2671.25,0.4581,2704.7329,3779.77531,0,0.0023,0.0644,10.9755,901.6109,22.6194
734902.5,2672.4167,0.4584,2708.9548,3781.407907,0,0.0025,0.0638,8.2393,903.8913,30.3536
734903.5,2687.375,0.4618,2733.2669,3810.26334,0,0.0032,0.0632,8.6243,904.4962,36.929
734904.5,2667.6667,0.4586,2717.4825,3782.433327,0,0.0035,0.0624,10.4932,903.9956,35.717
734905.5,2688.3333,0.4566,2740.1471,3808.272,0,0.0036,0.0617,10.6296,904.0185,36.4388
734906.5,2693.5,0.457,2749.2358,3813.830974,0,0.0038,0.0608,14.8783,902.9433,31.124
