SWC ,X,Y,Z,WI,ER_top,ER_bot,,,,
12.36,251095,4550355,3350.77,5.71,31.7,35.2,,,,
12.36,251095,4550360,3350.77,7.27,31.7,35.2,,,,
12.35,251095,4550365,3350.87,8.29,30.8,35.2,,,,
12.36,251095,4550370,3351.48,5.33,27.3,35.2,,,,
12.37,251095,4550375,3351.48,7.36,25.4,35.2,,,,
12.40,251095,4550380,3351.48,10.28,25.4,35.2,,,,
12.43,251095,4550385,3351.48,10.13,25.4,35.2,,,,
12.46,251095,4550390,3351.48,10.79,25.4,35.2,,,,
12.50,251095,4550395,3351.48,10.13,22.0,23.5,,,,
12.54,251095,4550400,3351.48,10.13,17.8,23.5,,,,
12.58,251095,4550405,3351.48,11.04,15.0,14.2,,,,
13.51,251100,4550095,3347.28,10.13,18.3,22.2,,,,
13.45,251100,4550100,3347.28,10.37,18.3,22.2,,,,
13.39,251100,4550105,3347.28,10.13,18.3,22.2,,,,
13.32,251100,4550110,3347.28,10.46,18.3,22.2,,,,
13.25,251100,4550115,3347.28,12.33,18.3,22.2,,,,
13.17,251100,4550120,3347.28,10.63,18.3,34.6,,,,
13.09,251100,4550125,3347.28,11.59,18.3,34.6,,,,
13.00,251100,4550130,3347.59,7.07,18.3,34.6,,,,
12.91,251100,4550135,3348.29,5.50,23.8,34.6,,,,
12.81,251100,4550140,3348.29,6.92,24.8,46.0,,,,
12.71,251100,4550145,3348.29,6.07,24.8,48.1,,,,
12.61,251100,4550150,3348.29,8.27,24.8,48.1,,,,
12.50,251100,4550155,3348.29,10.13,24.8,48.1,,,,
12.40,251100,4550160,3348.29,13.05,24.8,48.1,,,,
12.28,251100,4550165,3348.42,9.51,23.7,48.1,,,,
12.18,251100,4550170,3349.14,8.47,17.9,48.1,,,,
12.06,251100,4550175,3349.14,13.37,17.9,35.2,,,,
11.94,251100,4550180,3349.14,10.13,17.9,35.2,,,,
11.84,251100,4550185,3349.14,12.21,17.9,35.2,,,,
11.72,251100,4550190,3349.14,12.66,17.9,35.2,,,,
11.62,251100,4550195,3349.91,5.66,17.9,35.2,,,,
11.52,251100,4550200,3349.91,11.17,17.9,35.2,,,,
11.43,251100,4550205,3349.91,10.92,17.9,35.2,,,,
11.35,251100,4550210,3349.91,10.93,17.9,35.2,,,,
11.28,251100,4550215,3349.91,12.92,17.9,35.2,,,,
11.23,251100,4550220,3349.91,11.70,17.0,26.9,,,,
11.19,251100,4550225,3349.91,11.32,17.9,26.9,,,,
11.17,251100,4550230,3349.91,10.53,17.9,26.9,,,,
11.17,251100,4550235,3349.91,10.13,17.9,26.9,,,,
11.20,251100,4550240,3349.91,10.53,17.9,35.2,,,,
11.23,251100,4550245,3349.91,11.20,17.9,35.2,,,,
11.30,251100,4550250,3349.91,11.24,17.9,35.2,,,,
11.37,251100,4550255,3349.91,12.19,25.4,35.2,,,,
11.42,251100,4550260,3349.91,9.06,25.4,35.2,,,,
11.52,251100,4550265,3349.91,6.30,25.4,35.2,,,,
11.59,251100,4550270,3349.55,7.97,25.4,35.2,,,,
11.69,251100,4550275,3349.14,12.96,25.4,35.2,,,,
11.78,251100,4550280,3349.14,13.04,25.4,35.2,,,,
11.86,251100,4550285,3349.50,7.72,31.7,35.2,,,,
11.94,251100,4550290,3349.91,6.22,31.7,35.2,,,,
12.01,251100,4550295,3349.91,7.75,31.7,35.2,,,,
12.09,251100,4550300,3349.91,10.13,31.7,44.8,,,,
12.13,251100,4550305,3349.91,10.86,31.7,44.8,,,,
12.20,251100,4550310,3349.91,10.78,31.7,44.8,,,,
12.23,251100,4550315,3349.91,11.77,31.7,44.8,,,,
12.27,251100,4550320,3349.91,12.35,31.7,44.8,,,,
12.30,251100,4550325,3349.91,12.82,31.7,44.8,,,,
12.32,251100,4550330,3349.91,12.17,31.7,44.8,,,,
12.33,251100,4550335,3349.91,10.13,31.7,44.8,,,,
12.34,251100,4550340,3349.91,13.02,31.7,40.6,,,,
12.34,251100,4550345,3349.91,10.13,31.7,35.2,,,,
12.33,251100,4550350,3349.91,11.74,31.7,35.2,,,,
12.32,251100,4550355,3350.37,7.35,31.7,35.2,,,,
12.32,251100,4550360,3350.77,6.00,31.7,35.2,,,,
12.29,251100,4550365,3350.77,7.85,31.7,35.2,,,,
12.31,251100,4550370,3351.05,7.80,31.7,35.2,,,,
12.31,251100,4550375,3351.48,5.65,31.7,35.2,,,,
12.33,251100,4550380,3351.48,5.54,31.7,35.2,,,,
12.37,251100,4550385,3351.48,10.28,26.3,35.2,,,,
12.41,251100,4550390,3351.48,10.53,25.4,35.2,,,,
12.45,251100,4550395,3351.48,11.89,25.4,35.2,,,,
12.48,251100,4550400,3351.48,10.13,17.8,23.5,,,,
12.52,251100,4550405,3351.48,10.13,17.8,23.5,,,,
12.56,251100,4550410,3351.48,10.50,12.7,14.2,,,,
12.59,251100,4550415,3351.48,10.47,12.7,14.2,,,,
13.66,251105,4550085,3347.28,10.49,18.3,22.2,,,,
13.61,251105,4550090,3347.28,10.13,18.3,22.2,,,,
13.55,251105,4550095,3347.28,7.11,18.3,22.2,,,,
13.49,251105,4550100,3347.28,6.74,18.3,22.2,,,,
13.42,251105,4550105,3347.28,7.27,18.3,22.2,,,,
13.35,251105,4550110,3347.28,11.95,18.3,22.2,,,,
13.27,251105,4550115,3347.28,10.13,18.3,22.2,,,,
13.19,251105,4550120,3347.28,10.13,18.3,34.6,,,,
13.10,251105,4550125,3347.28,10.58,18.3,34.6,,,,
13.01,251105,4550130,3347.28,11.71,18.3,34.6,,,,
12.91,251105,4550135,3347.28,12.00,24.2,34.6,,,,
12.81,251105,4550140,3347.68,7.48,24.8,40.7,,,,
12.70,251105,4550145,3347.75,8.61,24.8,48.1,,,,
12.59,251105,4550150,3348.29,5.36,24.8,48.1,,,,
12.48,251105,4550155,3348.29,8.45,24.8,48.1,,,,
12.35,251105,4550160,3348.29,13.19,24.8,48.1,,,,
12.23,251105,4550165,3348.47,9.00,23.4,48.1,,,,
12.10,251105,4550170,3349.14,5.78,17.9,48.1,,,,
11.98,251105,4550175,3349.14,10.13,17.9,35.2,,,,
11.84,251105,4550180,3349.14,13.26,17.9,35.2,,,,
11.73,251105,4550185,3349.14,12.02,17.9,35.2,,,,
11.60,251105,4550190,3349.88,5.99,17.9,35.2,,,,
11.48,251105,4550195,3349.91,7.63,17.9,35.2,,,,
11.37,251105,4550200,3349.91,10.85,17.9,35.2,,,,
11.23,251105,4550205,3349.91,10.49,17.9,35.2,,,,
11.14,251105,4550210,3349.91,11.05,17.9,35.2,,,,
11.07,251105,4550215,3349.91,10.13,15.8,29.2,,,,
11.02,251105,4550220,3349.91,12.59,14.1,26.9,,,,
10.96,251105,4550225,3349.91,11.40,17.2,26.9,,,,
10.95,251105,4550230,3349.91,10.73,17.9,26.9,,,,
10.94,251105,4550235,3349.91,10.27,17.9,26.9,,,,
10.98,251105,4550240,3349.91,10.58,17.9,33.4,,,,
11.03,251105,4550245,3349.91,11.19,17.9,35.2,,,,
11.10,251105,4550250,3349.91,11.51,17.9,35.2,,,,
11.18,251105,4550255,3349.91,11.79,18.9,35.2,,,,
11.28,251105,4550260,3349.91,8.69,25.4,35.2,,,,
11.38,251105,4550265,3349.73,8.11,25.4,35.2,,,,
11.49,251105,4550270,3349.14,12.93,25.4,35.2,,,,
11.59,251105,4550275,3349.14,11.38,25.4,35.2,,,,
11.69,251105,4550280,3349.14,13.53,25.4,35.2,,,,
11.79,251105,4550285,3349.14,13.00,28.1,35.2,,,,
11.87,251105,4550290,3349.51,7.80,31.7,35.2,,,,
11.95,251105,4550295,3349.91,5.44,31.7,35.2,,,,
12.03,251105,4550300,3349.91,7.19,31.7,42.0,,,,
12.09,251105,4550305,3349.91,10.13,31.7,44.8,,,,
12.15,251105,4550310,3349.91,11.31,31.7,44.8,,,,
12.20,251105,4550315,3349.91,10.13,31.7,44.8,,,,
12.24,251105,4550320,3349.91,13.55,31.7,44.8,,,,
12.26,251105,4550325,3349.91,10.13,31.7,44.8,,,,
12.29,251105,4550330,3349.91,10.33,31.7,44.8,,,,
12.30,251105,4550335,3349.91,13.15,31.7,44.8,,,,
12.30,251105,4550340,3349.91,10.78,31.7,40.0,,,,
12.30,251105,4550345,3349.91,11.16,31.7,35.2,,,,
12.29,251105,4550350,3349.91,11.94,31.7,35.2,,,,
12.28,251105,4550355,3350.04,8.84,31.7,35.2,,,,
12.26,251105,4550360,3350.51,7.63,31.7,35.2,,,,
12.24,251105,4550365,3350.77,7.60,31.7,35.2,,,,
12.24,251105,4550370,3350.77,11.97,31.7,35.2,,,,
12.24,251105,4550375,3350.78,10.66,31.7,35.2,,,,
12.28,251105,4550380,3351.48,5.45,31.7,35.2,,,,
12.32,251105,4550385,3351.48,6.55,31.7,35.2,,,,
12.36,251105,4550390,3351.48,10.45,26.2,35.2,,,,
12.39,251105,4550395,3351.48,10.26,25.4,35.2,,,,
12.43,251105,4550400,3351.48,12.41,25.3,33.9,,,,
12.47,251105,4550405,3351.48,11.16,20.4,23.5,,,,
12.50,251105,4550410,3351.48,10.13,17.0,21.5,,,,
12.54,251105,4550415,3351.48,10.13,13.9,14.2,,,,
12.57,251105,4550420,3351.48,10.13,12.7,14.2,,,,
13.79,251110,4550075,3347.28,10.13,18.3,22.2,,,,
13.75,251110,4550080,3347.28,10.13,18.3,22.2,,,,
13.71,251110,4550085,3347.28,7.36,18.3,22.2,,,,
13.65,251110,4550090,3347.28,5.82,18.3,22.2,,,,
13.59,251110,4550095,3347.28,4.98,18.3,22.2,,,,
13.53,251110,4550100,3347.10,6.90,18.3,22.2,,,,
13.46,251110,4550105,3347.28,6.24,18.3,22.2,,,,
13.38,251110,4550110,3347.28,6.87,18.3,22.2,,,,
13.30,251110,4550115,3347.28,5.92,18.3,22.2,,,,
13.21,251110,4550120,3347.28,9.14,18.3,34.6,,,,
13.11,251110,4550125,3347.28,11.28,18.3,34.6,,,,
13.02,251110,4550130,3347.28,11.95,19.6,34.6,,,,
12.91,251110,4550135,3347.28,13.06,24.5,34.6,,,,
12.81,251110,4550140,3347.28,13.26,24.8,41.4,,,,
12.68,251110,4550145,3347.34,11.22,24.8,48.1,,,,
12.57,251110,4550150,3347.89,8.94,24.8,48.1,,,,
12.44,251110,4550155,3348.29,9.27,24.8,48.1,,,,
12.31,251110,4550160,3348.29,13.26,24.8,48.1,,,,
12.18,251110,4550165,3348.51,8.71,23.0,48.1,,,,
12.04,251110,4550170,3349.14,6.67,17.9,48.1,,,,
